rank,team_id,team_name,score,snapshot,zone,group
1,16718819,Majkel1337,3170.3,2026-09-17T0220Z,gold,gold
2,16732748,DSM,3089.0,2026-09-17T0220Z,gold,gold
3,16640510,SpaTaro,3074.3,2026-09-17T0220Z,gold,gold
4,16664246,Sida Zuo,3072.6,2026-09-17T0220Z,gold,gold
5,16730612,Unknown Mother-Goose,3057.8,2026-09-17T0220Z,gold,gold
6,16732403,ymg_aq,3041.8,2026-09-17T0220Z,gold,gold
7,16671741,Excluding,3038.0,2026-09-17T0220Z,gold,gold
8,16673205,Arda Ceylan,3026.3,2026-09-17T0220Z,gold,gold
9,16675778,Orbital Terraformer,3024.6,2026-09-17T0220Z,gold,gold
10,16730524,THIRD FARM CLUB,3005.3,2026-09-17T0220Z,gold,gold
11,16805699,feel the agi,2992.7,2026-09-17T0220Z,gold,gold
12,16739633,kwa,2987.4,2026-09-17T0220Z,gold,gold
13,16748733,Driz Lo,2985.4,2026-09-17T0220Z,gold,gold
14,16882725,Ebi,2984.2,2026-09-17T0220Z,gold,gold
15,16685950,Planned Economy,2970.2,2026-09-17T0220Z,gold,gold
16,16719123,Thomas Tschinkel,2968.0,2026-09-17T0220Z,gold,gold
17,16658349,lingxiaojun,2965.0,2026-09-17T0220Z,gold,gold
18,16629685,mikelou1,2958.9,2026-09-17T0220Z,gold,gold
19,16706321,lumen,2958.1,2026-09-17T0220Z,gold,gold
20,16690867,HowardLeeTW,2946.6,2026-09-17T0220Z,gold,gold
21,16660726,现实是个乐子,2945.5,2026-09-17T0220Z,gold,gold
22,16817528,QQ,2945.4,2026-09-17T0220Z,gold,gold
23,16863959,Một hai ba bốn 5 sáu bảy tám 9,2941.7,2026-09-17T0220Z,gold,gold
24,16714457,Crop Dustas,2939.4,2026-09-17T0220Z,gold,gold
25,16756591,Hamed Vakili,2937.7,2026-09-17T0220Z,gold,gold
26,16723379,local,2933.8,2026-09-17T0220Z,gold,gold
27,16629972,forever young,2932.9,2026-09-17T0220Z,gold,gold
28,16889224,Ishan Karnick,2932.1,2026-09-17T0220Z,gold,gold
29,16884121,Radiant,2929.4,2026-09-17T0220Z,gold,gold
1162,16621799,Artem The Farmer 🍅,2277.5,2026-09-17T0220Z,none,artem_resubmitted
