rank,team_id,team_name,score,snapshot,group,current_sub,current_sub_source,subs_found,subs_declared,public_games,first_game,last_game,current_sub_games,games_with_rating
1,16718819,Majkel1337,3170.3,2026-09-17T0220Z,gold,56216119,latest-episode,12,,2028,2026-08-27 15:35:41.681000+00:00,2026-09-17 03:10:29.520000+00:00,322,5
2,16732748,DSM,3089.0,2026-09-17T0220Z,gold,56284053,latest-episode,79,,11676,2026-08-12 10:03:48.694000+00:00,2026-09-17 03:10:29.646000+00:00,108,355
3,16640510,SpaTaro,3074.3,2026-09-17T0220Z,gold,56263693,latest-episode,23,,5550,2026-08-21 07:31:50.155000+00:00,2026-09-17 03:10:29.531000+00:00,197,26
4,16664246,Sida Zuo,3072.6,2026-09-17T0220Z,gold,56257389,latest-episode,26,,4100,2026-08-05 08:57:00.266000+00:00,2026-09-17 03:10:29.531000+00:00,220,27
5,16730612,Unknown Mother-Goose,3057.8,2026-09-17T0220Z,gold,56266758,latest-episode,29,,3900,2026-08-18 10:06:43.181000+00:00,2026-09-17 03:10:29.528000+00:00,180,23
6,16732403,ymg_aq,3041.8,2026-09-17T0220Z,gold,56265944,latest-episode,37,,6262,2026-08-22 14:16:07.331000+00:00,2026-09-17 03:10:29.645000+00:00,165,54
7,16671741,Excluding,3038.0,2026-09-17T0220Z,gold,56282369,latest-episode,56,,7653,2026-08-06 14:58:18.405000+00:00,2026-09-17 03:10:29.527000+00:00,116,128
8,16673205,Arda Ceylan,3026.3,2026-09-17T0220Z,gold,56274456,latest-episode,65,,8910,2026-08-08 08:07:49.476000+00:00,2026-09-17 03:10:29.520000+00:00,133,89
9,16675778,Orbital Terraformer,3024.6,2026-09-17T0220Z,gold,56263779,latest-episode,8,,2362,2026-08-28 10:07:06.466000+00:00,2026-09-17 03:10:29.646000+00:00,183,7
10,16730524,THIRD FARM CLUB,3005.3,2026-09-17T0220Z,gold,56279316,latest-episode,64,,8512,2026-08-18 06:30:43.394000+00:00,2026-09-17 03:10:29.399000+00:00,135,94
11,16805699,feel the agi,2992.7,2026-09-17T0220Z,gold,56208558,latest-episode,21,,4099,2026-09-02 01:48:43.011000+00:00,2026-09-17 03:06:30.478000+00:00,458,20
12,16739633,kwa,2987.4,2026-09-17T0220Z,gold,56273628,latest-episode,53,,7509,2026-08-22 21:44:33.626000+00:00,2026-09-17 03:10:29.530000+00:00,137,66
13,16748733,Driz Lo,2985.4,2026-09-17T0220Z,gold,56277070,latest-episode,33,,6754,2026-08-22 02:08:04.610000+00:00,2026-09-17 03:10:29.530000+00:00,129,36
