rank,team_id,team_name,score,snapshot
1,16718819,Majkel1337,3213.2,2026-09-14T1927Z
2,16732403,ymg_aq,3027.6,2026-09-14T1927Z
3,16640510,SpaTaro,3018.0,2026-09-14T1927Z
4,16622349,Mengfei Li,3008.1,2026-09-14T1927Z
5,16675778,Orbital Terraformer,3002.9,2026-09-14T1927Z
6,16732521,redblackbst,2996.6,2026-09-14T1927Z
7,16621799,Artem The Farmer 🍅,2987.4,2026-09-14T1927Z
8,16732748,DSM,2985.3,2026-09-14T1927Z
9,16690867,HowardLeeTW,2984.3,2026-09-14T1927Z
10,16773026,アルモンド,2983.0,2026-09-14T1927Z
11,16760569,Otter Vibe,2979.0,2026-09-14T1927Z
12,16640467,Catalyst,2975.6,2026-09-14T1927Z
13,16719123,Thomas Tschinkel,2973.1,2026-09-14T1927Z
14,16805699,feel the agi,2969.7,2026-09-14T1927Z
