rank,team_id,team_name,score,snapshot,group
1,16718819,Majkel1337,3216.9,2026-09-15T0033Z,top
2,16732748,DSM,3062.9,2026-09-15T0033Z,top
3,16621799,Artem The Farmer 🍅,3043.9,2026-09-15T0033Z,top
4,16675778,Orbital Terraformer,3022.2,2026-09-15T0033Z,top
5,16640510,SpaTaro,3014.1,2026-09-15T0033Z,top
6,16622349,Mengfei Li,3014.0,2026-09-15T0033Z,top
7,16732403,ymg_aq,3011.7,2026-09-15T0033Z,top
8,16730612,Unknown Mother-Goose,3007.0,2026-09-15T0033Z,batch
9,16690867,HowardLeeTW,2991.1,2026-09-15T0033Z,top
10,16773026,アルモンド,2977.2,2026-09-15T0033Z,top
11,16637255,leave you,2971.6,2026-09-15T0033Z,batch
13,16719123,Thomas Tschinkel,2970.2,2026-09-15T0033Z,top
14,16640467,Catalyst,2968.2,2026-09-15T0033Z,top
15,16732521,redblackbst,2966.9,2026-09-15T0033Z,top
16,16805699,feel the agi,2961.4,2026-09-15T0033Z,top
17,16781445,𝕯𝖊𝖔𝖉𝖎𝖒𝖘 & 𝕮𝖔,2950.3,2026-09-15T0033Z,batch
18,16760569,Otter Vibe,2949.6,2026-09-15T0033Z,top
19,16725899,Zhenghongshuang,2945.8,2026-09-15T0033Z,batch
20,16845367,kyy666,2938.3,2026-09-15T0033Z,batch
21,16778640,Kilupy,2934.9,2026-09-15T0033Z,batch
22,16811307,elmo,2932.4,2026-09-15T0033Z,batch
23,16730761,ElephtAI,2932.1,2026-09-15T0033Z,batch
29,16633100,Emile Andrieu,2912.9,2026-09-15T0033Z,batch
30,16758882,mtmr_s1,2912.3,2026-09-15T0033Z,batch
31,16644724,Kaggriculture Agent,2912.0,2026-09-15T0033Z,batch
38,16622198,THUNDER THUNDER,2899.3,2026-09-15T0033Z,batch
39,16833141,yomogii,2897.5,2026-09-15T0033Z,batch
47,16858228,doubao,2885.7,2026-09-15T0033Z,batch
48,16777134,Tom&Jerry,2884.9,2026-09-15T0033Z,batch
