rank,team_id,team_name,score,snapshot,zone,group
1,16621799,Artem The Farmer 🍅,3147.3,2026-09-15T1342Z,gold,top
2,16718819,Majkel1337,3142.5,2026-09-15T1342Z,gold,top
3,16730612,Unknown Mother-Goose,3094.6,2026-09-15T1342Z,gold,gold
4,16732748,DSM,3051.5,2026-09-15T1342Z,gold,top
5,16640510,SpaTaro,3037.9,2026-09-15T1342Z,gold,top
6,16730524,THIRD FARM CLUB,3009.0,2026-09-15T1342Z,gold,gold
7,16675778,Orbital Terraformer,3003.1,2026-09-15T1342Z,gold,top
8,16664246,Sida Zuo,2996.3,2026-09-15T1342Z,gold,gold
9,16732403,ymg_aq,2993.4,2026-09-15T1342Z,gold,top
10,16637255,leave you,2992.4,2026-09-15T1342Z,gold,gold
11,16660726,现实是个乐子,2990.1,2026-09-15T1342Z,gold,gold
12,16622349,Mengfei Li,2982.0,2026-09-15T1342Z,gold,top
13,16690867,HowardLeeTW,2975.3,2026-09-15T1342Z,gold,top
14,16640467,Catalyst,2974.1,2026-09-15T1342Z,gold,top
15,16805699,feel the agi,2964.3,2026-09-15T1342Z,gold,top
16,16723379,local,2964.1,2026-09-15T1342Z,gold,gold
17,16706321,lumen,2961.9,2026-09-15T1342Z,gold,gold
18,16671741,Excluding,2961.5,2026-09-15T1342Z,gold,gold
19,16731275,carbonapi,2957.1,2026-09-15T1342Z,gold,gold
20,16633178,Cow Boy,2953.9,2026-09-15T1342Z,gold,gold
21,16882725,Ebi,2949.2,2026-09-15T1342Z,gold,gold
22,16773026,アルモンド,2946.5,2026-09-15T1342Z,gold,top
23,16728071,AI是我的豆包,2943.5,2026-09-15T1342Z,gold,gold
24,16684093,fog flower,2942.2,2026-09-15T1342Z,gold,gold
25,16760569,Otter Vibe,2936.3,2026-09-15T1342Z,gold,top
26,16848479,nilochan,2928.5,2026-09-15T1342Z,gold,gold
27,16641710,yjshyfy,2927.9,2026-09-15T1342Z,gold,gold
28,16845367,kyy666,2925.3,2026-09-15T1342Z,gold,gold
29,16781445,𝕯𝖊𝖔𝖉𝖎𝖒𝖘 & 𝕮𝖔,2923.8,2026-09-15T1342Z,silver,silver
31,16732521,redblackbst,2918.9,2026-09-15T1342Z,silver,top
32,16778640,Kilupy,2915.9,2026-09-15T1342Z,silver,silver
35,16644724,Kaggriculture Agent,2914.5,2026-09-15T1342Z,silver,silver
36,16725899,Zhenghongshuang,2914.4,2026-09-15T1342Z,silver,silver
38,16811307,elmo,2910.7,2026-09-15T1342Z,silver,silver
41,16719123,Thomas Tschinkel,2906.4,2026-09-15T1342Z,silver,top
45,16758882,mtmr_s1,2891.6,2026-09-15T1342Z,silver,silver
46,16633100,Emile Andrieu,2891.4,2026-09-15T1342Z,silver,silver
49,16622198,THUNDER THUNDER,2886.4,2026-09-15T1342Z,silver,silver
72,16858228,doubao,2865.3,2026-09-15T1342Z,silver,silver
74,16833141,yomogii,2864.4,2026-09-15T1342Z,silver,silver
75,16777134,Tom&Jerry,2863.6,2026-09-15T1342Z,silver,silver
120,16891058,Navier-stokes,2820.3,2026-09-15T1342Z,silver,silver
121,16658554,Pai,2820.2,2026-09-15T1342Z,silver,silver
122,16622459,Munal Singh,2820.0,2026-09-15T1342Z,silver,silver
227,16730761,ElephtAI,2747.0,2026-09-15T1342Z,silver,silver
250,16879253,Bldr2,2734.8,2026-09-15T1342Z,silver,silver
251,16741542,let cats farm,2734.4,2026-09-15T1342Z,silver,silver
252,16626191,kevin park,2732.3,2026-09-15T1342Z,silver,silver
400,16848532,peppersaltman,2676.9,2026-09-15T1342Z,silver,silver
401,16765807,Win Suthar,2674.8,2026-09-15T1342Z,silver,silver
402,16810299,spencersi123,2673.8,2026-09-15T1342Z,silver,silver
470,16731186,Naru041104,2650.7,2026-09-15T1342Z,bronze,bronze
472,16862666,Roman Katasonov,2650.6,2026-09-15T1342Z,bronze,bronze
473,16657100,Jacky Chan,2649.6,2026-09-15T1342Z,bronze,bronze
600,16880773,最强扫地僧,2588.4,2026-09-15T1342Z,bronze,bronze
601,16683936,Cyrus,2587.9,2026-09-15T1342Z,bronze,bronze
602,16802867,matcha110,2586.0,2026-09-15T1342Z,bronze,bronze
750,16761744,Daiki Takahashi,2526.6,2026-09-15T1342Z,bronze,bronze
751,16809332,ansheng jhang,2526.4,2026-09-15T1342Z,bronze,bronze
752,16888254,CaliforniaDog,2526.2,2026-09-15T1342Z,bronze,bronze
880,16655383,MtN,2470.8,2026-09-15T1342Z,bronze,bronze
881,16633944,Toru59er,2470.2,2026-09-15T1342Z,bronze,bronze
882,16730720,broccoli,2470.0,2026-09-15T1342Z,bronze,bronze
