rank,team_id,team_name,score,snapshot,group,current_sub,current_sub_source,subs_found,subs_declared,public_games,first_game,last_game,current_sub_games,games_with_rating
1,16718819,Majkel1337,3216.9,2026-09-15T0033Z,top,56156662,leaderboard,9,2.0,1497,2026-08-27 15:35:41.681000+00:00,2026-09-14 19:24:42.198000+00:00,331,157
2,16732748,DSM,3062.9,2026-09-15T0033Z,top,56233619,leaderboard,51,2.0,8825,2026-08-14 00:00:45.615000+00:00,2026-09-14 19:32:41.436000+00:00,80,1206
3,16621799,Artem The Farmer 🍅,3043.9,2026-09-15T0033Z,top,56232364,leaderboard,17,2.0,2070,2026-08-19 14:41:53.395000+00:00,2026-09-15 00:35:45.892000+00:00,86,84
4,16675778,Orbital Terraformer,3022.2,2026-09-15T0033Z,top,56205640,leaderboard,7,2.0,1831,2026-08-28 10:07:06.466112300+00:00,2026-09-14 19:24:42.444000+00:00,187,216
5,16640510,SpaTaro,3014.1,2026-09-15T0033Z,top,56162707,leaderboard,17,2.0,4642,2026-08-23 14:44:52.644982100+00:00,2026-09-15 00:27:50.405000+00:00,456,624
6,16622349,Mengfei Li,3014.0,2026-09-15T0033Z,top,56173067,leaderboard,89,2.0,10390,2026-08-02 06:27:11.913229200+00:00,2026-09-14 19:36:41.189000+00:00,374,4519
7,16732403,ymg_aq,3011.7,2026-09-15T0033Z,top,56209769,leaderboard,31,2.0,5367,2026-08-22 14:16:07.331000+00:00,2026-09-14 19:24:42.197000+00:00,178,983
8,16730612,Unknown Mother-Goose,3007.0,2026-09-15T0033Z,batch,56234989,leaderboard,23,,3035,2026-08-23 05:04:40.646000+00:00,2026-09-15 00:31:47.059000+00:00,107,23
9,16690867,HowardLeeTW,2991.1,2026-09-15T0033Z,top,56202668,leaderboard,10,2.0,2348,2026-08-08 12:11:51.579660300+00:00,2026-09-14 19:28:41.984000+00:00,194,1378
10,16773026,アルモンド,2977.2,2026-09-15T0033Z,top,56233099,leaderboard,23,,3153,2026-09-01 00:41:40.464000+00:00,2026-09-14 19:32:41.743000+00:00,82,25
11,16637255,leave you,2971.6,2026-09-15T0033Z,batch,56231920,leaderboard,95,2.0,9900,2026-08-01 23:07:03.741000+00:00,2026-09-15 00:39:51.261000+00:00,112,110
13,16719123,Thomas Tschinkel,2970.2,2026-09-15T0033Z,top,56222223,leaderboard,77,2.0,8950,2026-08-13 23:56:46.542449400+00:00,2026-09-15 00:35:46.509000+00:00,110,321
14,16640467,Catalyst,2968.2,2026-09-15T0033Z,top,56228208,leaderboard,6,,906,2026-09-12 06:14:35.233000+00:00,2026-09-14 19:28:42.698000+00:00,105,1
15,16732521,redblackbst,2966.9,2026-09-15T0033Z,top,56221758,leaderboard,42,2.0,5329,2026-08-26 18:02:45.462315700+00:00,2026-09-15 00:35:46.505000+00:00,115,334
16,16805699,feel the agi,2961.4,2026-09-15T0033Z,top,56132899,leaderboard,19,2.0,3449,2026-09-04 22:57:55.019000+00:00,2026-09-14 19:36:41.076000+00:00,562,20
17,16781445,𝕯𝖊𝖔𝖉𝖎𝖒𝖘 & 𝕮𝖔,2950.3,2026-09-15T0033Z,batch,56223630,leaderboard,7,,728,2026-09-02 16:51:50.625000+00:00,2026-09-15 00:35:46.492000+00:00,136,0
18,16760569,Otter Vibe,2949.6,2026-09-15T0033Z,top,56097405,leaderboard,12,2.0,2511,2026-08-27 14:55:37.227000+00:00,2026-09-15 00:31:46.915000+00:00,721,12
19,16725899,Zhenghongshuang,2945.8,2026-09-15T0033Z,batch,56218579,leaderboard,25,2.0,5279,2026-08-15 16:00:52.473000+00:00,2026-09-15 00:35:46.455000+00:00,144,54
20,16845367,kyy666,2938.3,2026-09-15T0033Z,batch,56232519,leaderboard,12,,1600,2026-09-09 04:12:25.776000+00:00,2026-09-15 00:35:46.509000+00:00,116,2
21,16778640,Kilupy,2934.9,2026-09-15T0033Z,batch,56237107,leaderboard,8,2.0,890,2026-09-03 15:42:24.881000+00:00,2026-09-15 00:39:51.304000+00:00,86,0
22,16811307,elmo,2932.4,2026-09-15T0033Z,batch,56234758,leaderboard,22,,3469,2026-09-04 07:25:02.998000+00:00,2026-09-15 00:39:51.713000+00:00,102,32
23,16730761,ElephtAI,2932.1,2026-09-15T0033Z,batch,56219692,leaderboard,33,2.0,5736,2026-08-27 03:35:08.043000+00:00,2026-09-15 00:31:47.263000+00:00,141,248
29,16633100,Emile Andrieu,2912.9,2026-09-15T0033Z,batch,56227553,leaderboard,13,2.0,3653,2026-08-03 12:47:26.471000+00:00,2026-09-15 00:35:46.598000+00:00,120,40
30,16758882,mtmr_s1,2912.3,2026-09-15T0033Z,batch,56232460,leaderboard,31,2.0,5969,2026-08-22 15:16:02.437000+00:00,2026-09-15 00:35:45.956000+00:00,113,38
31,16644724,Kaggriculture Agent,2912.0,2026-09-15T0033Z,batch,56230957,leaderboard,76,2.0,8989,2026-07-31 01:04:40.902000+00:00,2026-09-15 00:39:50.606000+00:00,116,89
38,16622198,THUNDER THUNDER,2899.3,2026-09-15T0033Z,batch,56172448,leaderboard,39,2.0,7231,2026-07-30 19:00:08.574000+00:00,2026-09-15 00:35:45.882000+00:00,395,276
39,16833141,yomogii,2897.5,2026-09-15T0033Z,batch,56235642,leaderboard,20,,2690,2026-09-05 00:13:51.968000+00:00,2026-09-15 00:35:46.602000+00:00,96,17
47,16858228,doubao,2885.7,2026-09-15T0033Z,batch,56209609,leaderboard,5,,1630,2026-09-09 10:48:33.490000+00:00,2026-09-15 00:39:50.751000+00:00,226,6
48,16777134,Tom&Jerry,2884.9,2026-09-15T0033Z,batch,56221757,leaderboard,24,2.0,5368,2026-08-26 19:59:15.699000+00:00,2026-09-15 00:35:45.470000+00:00,154,57
